Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Metric,Value,date
-4915.0,188.0,189.0,20.343897109985356,20.93000030517578,-2880.69720436094,-0.028809779759589427,2018-10-01,2018-10-02,1 days,,,
4275.0,228.0,235.0,22.715340076446534,24.600000381469727,8056.922803974149,0.08296861498355423,2018-11-27,2018-12-07,10 days,,,
-5367.0,286.0,290.0,19.593402206420894,21.261333465576172,-8951.787067886376,-0.08512718932542951,2019-02-22,2019-02-28,6 days,,,
4516.0,290.0,292.0,21.303856132507324,19.874666213989254,-6454.221672027603,-0.06708597305711639,2019-02-28,2019-03-04,4 days,,,
-6021.0,419.0,424.0,14.908789962768553,15.386667251586914,-2877.2991559753495,-0.03205339199302926,2019-09-03,2019-09-10,7 days,,,
1645.0,592.0,596.0,52.80606967163086,52.689998626708984,-190.9368688964828,-0.002198062564467529,2020-05-11,2020-05-15,4 days,,,
1642.0,596.0,601.0,52.7953786239624,54.81133270263672,3310.1965971832324,0.038184290580299596,2020-05-15,2020-05-22,7 days,,,
1638.0,601.0,606.0,54.920955368041994,57.20000076293945,3733.0763568420375,0.04149682720602521,2020-05-22,2020-06-01,10 days,,,
1635.0,606.0,659.0,57.31440076446533,110.99933624267578,87774.86950687408,0.9366744616039826,2020-06-01,2020-08-14,74 days,,,
1632.0,659.0,676.0,111.22133491516114,118.86666870117188,12477.184738769525,0.06873981320079059,2020-08-14,2020-09-09,26 days,,,
1324.0,697.0,701.0,146.43896081542968,149.92666625976562,4617.72200830079,0.023816786358732855,2020-10-08,2020-10-14,6 days,,,
1322.0,701.0,706.0,150.22651959228514,140.89999389648438,-12329.666969848615,-0.0620830844055561,2020-10-14,2020-10-21,7 days,,,
862.0,816.0,824.0,215.97107327270507,237.5666656494141,18615.400628723175,0.09999298540059764,2021-03-31,2021-04-13,13 days,,,
860.0,824.0,832.0,238.0417989807129,239.9333343505859,1626.7204180907777,0.00794623203980338,2021-04-13,2021-04-23,10 days,,,
-1038.0,869.0,875.0,198.7816326904297,224.9966735839844,-27211.212447509795,-0.131878587265557,2021-06-16,2021-06-24,8 days,,,
-828.0,896.0,900.0,216.55602548217777,223.9199981689453,-6097.369384643523,-0.03400493091970591,2021-07-26,2021-07-30,4 days,,,
772.0,900.0,908.0,224.36783816528322,237.57000732421875,10192.074590698232,0.058841629294524855,2021-07-30,2021-08-11,12 days,,,
521.0,991.0,995.0,351.605126953125,315.0,-19071.271142578138,-0.10410862682899702,2021-12-08,2021-12-14,6 days,,,
603.0,1046.0,1052.0,272.2133534545898,265.1766662597656,-4243.122378478991,-0.025849897168979452,2022-02-28,2022-03-08,8 days,,,
-604.0,1052.0,1054.0,264.6463129272461,283.8166809082031,-11578.90226049806,-0.0724376915321967,2022-03-08,2022-03-10,2 days,,,
522.0,1054.0,1056.0,284.38431427001956,260.2033386230469,-12622.469287719741,-0.08502921727255719,2022-03-10,2022-03-14,4 days,,,
-526.0,1057.0,1059.0,257.9064931640625,276.9966735839844,-10041.434900878901,-0.07401977432099005,2022-03-15,2022-03-17,2 days,,,
-547.0,1130.0,1136.0,230.039,242.3333282470703,-6724.997551147468,-0.05344453873938915,2022-06-29,2022-07-08,9 days,,,
-572.0,1221.0,1285.0,208.23269390869143,207.77999877929688,258.9416140136859,0.0021739868072448987,2022-11-07,2023-02-09,94 days,,,
-623.0,1317.0,1321.0,191.61599999999999,199.91000366210935,-5167.164281494132,-0.043284504749652175,2023-03-28,2023-04-03,6 days,,,
-625.0,1328.0,1330.0,182.59408670043945,186.32000732421875,-2328.700389862064,-0.020405483502277777,2023-04-13,2023-04-17,4 days,,,
599.0,1330.0,1334.0,186.69264733886718,164.8000030517578,-13113.693927978507,-0.1172657016715386,2023-04-17,2023-04-21,4 days,,,
-395.0,1509.0,1514.0,249.57984182739258,238.11000061035156,4530.5872807312035,0.04595660103420318,2024-01-02,2024-01-09,7 days,,,
-684.0,1583.0,1589.0,150.9475,168.85000610351562,-12245.314174804695,-0.11860087847440748,2024-04-18,2024-04-26,8 days,,,
-521.0,1609.0,1615.0,174.49031634521484,174.77999877929688,-150.9245481567422,-0.0016601633841326624,2024-05-24,2024-06-04,11 days,,,
-519.0,1616.0,1620.0,174.9993060913086,173.9199981689453,560.1608117065446,0.006167498297394047,2024-06-05,2024-06-11,6 days,,,
-527.0,1620.0,1623.0,173.57215817260743,185.8000030517578,-6444.074251312251,-0.07044819288926796,2024-06-11,2024-06-14,3 days,,,
-458.0,1623.0,1629.0,185.4284030456543,184.3999938964844,471.0113903198156,0.005546125255237677,2024-06-14,2024-06-25,11 days,,,
,,,,,,,,,,Start,2018-01-02 00:00:00,
,,,,,,,,,,End,2024-06-26 00:00:00,
,,,,,,,,,,Duration,2367 days 00:00:00,
,,,,,,,,,,Exposure Time [%],17.903126916002453,
,,,,,,,,,,Equity Final [$],89876.36960718912,
,,,,,,,,,,Equity Peak [$],271092.99699934,
,,,,,,,,,,Return [%],-10.123630392810883,
,,,,,,,,,,Buy & Hold Return [%],818.9622805207305,
,,,,,,,,,,Return (Ann.) [%],-1.6356028400425826,
,,,,,,,,,,Volatility (Ann.) [%],25.737312620653345,
,,,,,,,,,,Sharpe Ratio,0.0,
,,,,,,,,,,Sortino Ratio,0.0,
,,,,,,,,,,Calmar Ratio,0.0,
,,,,,,,,,,Max. Drawdown [%],-68.97474818694805,
,,,,,,,,,,Avg. Drawdown [%],-11.43522512669876,
,,,,,,,,,,Max. Drawdown Duration,1395 days 00:00:00,
,,,,,,,,,,Avg. Drawdown Duration,183 days 00:00:00,
,,,,,,,,,,# Trades,33,
,,,,,,,,,,Win Rate [%],39.39393939393939,
,,,,,,,,,,Best Trade [%],93.66744616039826,
,,,,,,,,,,Worst Trade [%],-13.187858726555701,
,,,,,,,,,,Avg. Trade [%],-0.4749334289671281,
,,,,,,,,,,Max. Trade Duration,94 days 00:00:00,
,,,,,,,,,,Avg. Trade Duration,12 days 00:00:00,
,,,,,,,,,,Profit Factor,1.1534484035583177,
,,,,,,,,,,Expectancy [%],0.5718490370834952,
,,,,,,,,,,SQN,-0.13788659079075494,
,,,,,,,,,,_strategy,BollingerKeltnerChaikinSMAStrategy,
,,,,,,,,,,_equity_curve,"                   Equity  DrawdownPct DrawdownDuration
2018-01-02  100000.000000     0.000000              NaT
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2024-06-20   86795.742730     0.679830              NaT
2024-06-21   86136.228601     0.682263              NaT
2024-06-24   86333.165246     0.681537              NaT
2024-06-25   85499.608880     0.684612              NaT
2024-06-26   89876.369607     0.668467        1395 days

[1631 rows x 3 columns]",
,,,,,,,,,,_trades,"    Size  EntryBar  ExitBar  EntryPrice   ExitPrice           PnL  ReturnPct  EntryTime   ExitTime Duration
0  -4915       188      189   20.343897   20.930000  -2880.697204  -0.028810 2018-10-01 2018-10-02   1 days
1   4275       228      235   22.715340   24.600000   8056.922804   0.082969 2018-11-27 2018-12-07  10 days
2  -5367       286      290   19.593402   21.261333  -8951.787068  -0.085127 2019-02-22 2019-02-28   6 days
3   4516       290      292   21.303856   19.874666  -6454.221672  -0.067086 2019-02-28 2019-03-04   4 days
4  -6021       419      424   14.908790   15.386667  -2877.299156  -0.032053 2019-09-03 2019-09-10   7 days
5   1645       592      596   52.806070   52.689999   -190.936869  -0.002198 2020-05-11 2020-05-15   4 days
6   1642       596      601   52.795379   54.811333   3310.196597   0.038184 2020-05-15 2020-05-22   7 days
7   1638       601      606   54.920955   57.200001   3733.076357   0.041497 2020-05-22 2020-06-01  10 days
8   1635       606      659   57.314401  110.999336  87774.869507   0.936674 2020-06-01 2020-08-14  74 days
9   1632       659      676  111.221335  118.866669  12477.184739   0.068740 2020-08-14 2020-09-09  26 days
10  1324       697      701  146.438961  149.926666   4617.722008   0.023817 2020-10-08 2020-10-14   6 days
11  1322       701      706  150.226520  140.899994 -12329.666970  -0.062083 2020-10-14 2020-10-21   7 days
12   862       816      824  215.971073  237.566666  18615.400629   0.099993 2021-03-31 2021-04-13  13 days
13   860       824      832  238.041799  239.933334   1626.720418   0.007946 2021-04-13 2021-04-23  10 days
14 -1038       869      875  198.781633  224.996674 -27211.212448  -0.131879 2021-06-16 2021-06-24   8 days
15  -828       896      900  216.556025  223.919998  -6097.369385  -0.034005 2021-07-26 2021-07-30   4 days
16   772       900      908  224.367838  237.570007  10192.074591   0.058842 2021-07-30 2021-08-11  12 days
17   521       991      995  351.605127  315.000000 -19071.271143  -0.104109 2021-12-08 2021-12-14   6 days
18   603      1046     1052  272.213353  265.176666  -4243.122378  -0.025850 2022-02-28 2022-03-08   8 days
19  -604      1052     1054  264.646313  283.816681 -11578.902260  -0.072438 2022-03-08 2022-03-10   2 days
20   522      1054     1056  284.384314  260.203339 -12622.469288  -0.085029 2022-03-10 2022-03-14   4 days
21  -526      1057     1059  257.906493  276.996674 -10041.434901  -0.074020 2022-03-15 2022-03-17   2 days
22  -547      1130     1136  230.039000  242.333328  -6724.997551  -0.053445 2022-06-29 2022-07-08   9 days
23  -572      1221     1285  208.232694  207.779999    258.941614   0.002174 2022-11-07 2023-02-09  94 days
24  -623      1317     1321  191.616000  199.910004  -5167.164281  -0.043285 2023-03-28 2023-04-03   6 days
25  -625      1328     1330  182.594087  186.320007  -2328.700390  -0.020405 2023-04-13 2023-04-17   4 days
26   599      1330     1334  186.692647  164.800003 -13113.693928  -0.117266 2023-04-17 2023-04-21   4 days
27  -395      1509     1514  249.579842  238.110001   4530.587281   0.045957 2024-01-02 2024-01-09   7 days
28  -684      1583     1589  150.947500  168.850006 -12245.314175  -0.118601 2024-04-18 2024-04-26   8 days
29  -521      1609     1615  174.490316  174.779999   -150.924548  -0.001660 2024-05-24 2024-06-04  11 days
30  -519      1616     1620  174.999306  173.919998    560.160812   0.006167 2024-06-05 2024-06-11   6 days
31  -527      1620     1623  173.572158  185.800003  -6444.074251  -0.070448 2024-06-11 2024-06-14   3 days
32  -458      1623     1629  185.428403  184.399994    471.011390   0.005546 2024-06-14 2024-06-25  11 days",
